id,u,v,geometry,total_tracks,list_tracks,weight
1318,281329050,281329057,"LINESTRING (2.6675133 42.4736669, 2.6675746 42.4736489, 2.6679759 42.4735313, 2.6681008 42.4734814, 2.6682399 42.4733797, 2.6686865 42.4730876, 2.6688983 42.4729814, 2.6691662 42.4728542)",1,['187694864'],1
1319,281329057,281329058,"LINESTRING (2.6691322 42.4732887, 2.6691125 42.4732511, 2.669074 42.4731777, 2.6690735 42.4731129, 2.6691662 42.4728542)",1,['187694864'],1
1320,281329057,281329065,"LINESTRING (2.6691662 42.4728542, 2.6692402 42.4727046, 2.6692515 42.4726576, 2.6692378 42.4726096, 2.6691963 42.4725638, 2.6691556 42.4725203, 2.6689325 42.4723091, 2.668786 42.4721178)",1,['187694864'],1
1321,281329058,281332039,"LINESTRING (2.6691322 42.4732887, 2.669196 42.4732682, 2.669467 42.4731811)",1,['187697056'],1
1322,281329065,12110522716,"LINESTRING (2.668786 42.4721178, 2.6689538 42.4724583, 2.668971 42.4725016, 2.6689806 42.4725324, 2.6690021 42.4725842, 2.6690085 42.4726184, 2.6690109 42.4726578, 2.6689546 42.4727247, 2.6688768 42.4727574, 2.6685365 42.4728596, 2.6684149 42.472967)",1,['187694864'],1
1323,281329065,7830231929,"LINESTRING (2.668786 42.4721178, 2.6687598 42.4720626)",1,['187694864'],1
1334,281331865,281331950,"LINESTRING (2.6680634 42.4702508, 2.6681594 42.4703027, 2.6683347 42.470353)",1,['187694864'],1
1337,281331906,281331907,"LINESTRING (2.667961 42.4713497, 2.6682422 42.470741)",1,['187694864'],1
1338,281331907,281331950,"LINESTRING (2.6682422 42.470741, 2.6683347 42.470353)",1,['187694864'],1
1339,281331907,7848563102,"LINESTRING (2.6685186 42.4714517, 2.668485 42.471357, 2.6684769 42.4713376, 2.6684205 42.4712029, 2.6683641 42.4710682, 2.6682905 42.4708923, 2.6682549 42.4707751, 2.6682422 42.470741)",1,['187694864'],1
1343,281331918,1834715554,"LINESTRING (2.669838 42.4731045, 2.6698515 42.4730642, 2.6698607 42.4729909, 2.6698682 42.4729473, 2.669849 42.4728846, 2.6698462 42.4728787)",2,"['187694864', '187697056']",10
1344,281331918,1757531219,"LINESTRING (2.669838 42.4731045, 2.6700162 42.4730694, 2.6702285 42.4730051, 2.6703316 42.4729628, 2.6703691 42.4729428, 2.6704416 42.4728847, 2.6706164 42.4727511, 2.6707123 42.4726655)",1,['187697056'],1
1345,281331918,281332039,"LINESTRING (2.669467 42.4731811, 2.6696525 42.4731265, 2.669838 42.4731045)",1,['187697056'],1
1346,281331920,1818280346,"LINESTRING (2.6698642 42.472607, 2.6699808 42.4725433)",1,['187697056'],1
1347,281331920,1757531230,"LINESTRING (2.6699808 42.4725433, 2.6701451 42.4724448)",1,['187697056'],1
1348,281331920,1909906583,"LINESTRING (2.6699808 42.4725433, 2.6698983 42.4725034, 2.6697365 42.472673)",1,['187694864'],1
1349,281331920,281332019,"LINESTRING (2.6699808 42.4725433, 2.6701585 42.4727344, 2.6701108 42.4727585)",1,['187697056'],1
1352,281331948,281331950,"LINESTRING (2.6683347 42.470353, 2.6685414 42.4704085, 2.6685839 42.4704248, 2.6686284 42.4704599)",1,['187694864'],1
1355,281331955,1757531238,"LINESTRING (2.6686107 42.4704796, 2.6688246 42.4705238, 2.6696534 42.470695, 2.6697013 42.4707049)",1,['187694864'],1
1359,281332019,1818280346,"LINESTRING (2.6701108 42.4727585, 2.6698642 42.472607)",2,"['187694864', '187697056']",10
1360,281332019,1834715554,"LINESTRING (2.6701108 42.4727585, 2.6698462 42.4728787)",2,"['187694864', '187697056']",10
1361,281332019,1771203031,"LINESTRING (2.6701108 42.4727585, 2.6702884 42.4729269, 2.6703709 42.4729922)",1,['187697056'],1
1362,281332021,1771203031,"LINESTRING (2.6707682 42.4734083, 2.6707173 42.4733453, 2.6705634 42.4731547, 2.6703709 42.4729922)",1,['187697056'],1
1363,281332021,1776156243,"LINESTRING (2.6707682 42.4734083, 2.6713083 42.4732819, 2.6715721 42.4732388, 2.6717702 42.4732161, 2.6719664 42.4732153, 2.6725332 42.4732609, 2.6727632 42.4732521, 2.6730097 42.4732367, 2.6734157 42.4732102, 2.6734443 42.4732083, 2.6735482 42.4732042)",1,['187697056'],1
1365,281332039,281332044,"LINESTRING (2.6666928 42.4745048, 2.6669375 42.4744441, 2.6681829 42.4741117, 2.6684714 42.4739786, 2.6687159 42.4738372, 2.669492 42.47331, 2.6694736 42.4732151, 2.669467 42.4731811)",1,['187694864'],1
1366,281332043,281332044,"LINESTRING (2.6664721 42.4740112, 2.6665056 42.4740779, 2.6666928 42.4745048)",2,"['187694864', '187697056']",10
1367,281332044,281332046,"LINESTRING (2.6654432 42.4747254, 2.6656605 42.4747234, 2.6658466 42.4747133, 2.6666928 42.4745048)",2,"['187694864', '187697056']",10
1376,281333449,662339331,"LINESTRING (2.6707562 42.4744735, 2.6708378 42.4744507, 2.6710795 42.474365, 2.6713728 42.4742858, 2.6717164 42.4742314, 2.6722145 42.4741827, 2.6723774 42.4741934, 2.6728293 42.4742988, 2.6729217 42.4743085, 2.6730374 42.4742883, 2.6731308 42.4741936, 2.6731807 42.4741189, 2.6732594 42.4740764, 2.673412 42.4740615, 2.6735615 42.4740917, 2.6737043 42.4741297, 2.6739286 42.4742588)",2,"['187694864', '187697056']",10
1377,281333449,5196264708,"LINESTRING (2.6707562 42.4744735, 2.6710802 42.4745196, 2.6711767 42.4745333, 2.6718758 42.4746888, 2.6724147 42.4748332)",1,['187694864'],1
1378,281333485,1664669244,"LINESTRING (2.6738309 42.476379, 2.6738956 42.4762945, 2.6740281 42.47607, 2.6741691 42.4759037, 2.6743635 42.4756127, 2.6744396 42.4755004, 2.6744565 42.4754276)",1,['187697056'],1
1379,281333485,662339388,"LINESTRING (2.6738309 42.476379, 2.6736684 42.476491, 2.6736298 42.4765106)",1,['187697056'],1
1380,281333485,993092249,"LINESTRING (2.6738309 42.476379, 2.6738839 42.4762683, 2.6739507 42.476054, 2.674004 42.4758269, 2.6741861 42.4750736, 2.6742012 42.4749763)",1,['187697056'],1
