id,u,v,geometry
22,506850517,2188345975,"LINESTRING (2.4328354 41.8535447, 2.4326935 41.8535182, 2.4324964 41.8535014)"
23,506850517,2188345967,"LINESTRING (2.4324964 41.8535014, 2.4327182 41.8534448, 2.4328576 41.8534086)"
24,506850613,9015321290,"LINESTRING (2.4453061 41.851335, 2.4454671 41.851314, 2.4457483 41.8512883, 2.4460131 41.8512545)"
25,506850613,2096026601,"LINESTRING (2.4453061 41.851335, 2.4451272 41.8513635, 2.4449623 41.8513997, 2.4444422 41.8515568, 2.4440537 41.8516986, 2.443747 41.8518376)"
26,506850613,9015321298,"LINESTRING (2.4468767 41.851215, 2.4467527 41.8512379, 2.4465866 41.8512636, 2.4463809 41.8512807, 2.4462224 41.8512921, 2.4460013 41.8513036, 2.4457853 41.8513102, 2.4454709 41.851334, 2.4453061 41.851335)"
27,506850789,4954639569,"LINESTRING (2.435689 41.8532797, 2.4351217 41.8533)"
28,506850789,4954639599,"LINESTRING (2.435689 41.8532797, 2.4369224 41.8532359)"
29,506850789,506850831,"LINESTRING (2.435689 41.8532797, 2.4356948 41.8533312, 2.4357091 41.8533801, 2.4358407 41.8535984, 2.4359039 41.8536927, 2.4359352 41.8537683, 2.4359504 41.8538435, 2.4359414 41.8539096)"
30,506850810,1929160636,"LINESTRING (2.4009839 41.876774, 2.4012629 41.8765052, 2.4017975 41.8759898, 2.4021493 41.8756795, 2.4025063 41.8753958, 2.4028722 41.8751302, 2.4034299 41.8747512, 2.4042618 41.8742782, 2.4045944 41.8740945, 2.4049653 41.8739054, 2.4053727 41.8736952, 2.4057802 41.8734773, 2.4061222 41.8732481, 2.4064209 41.8730057, 2.4067979 41.8726349, 2.4071793 41.8721372, 2.4073671 41.8718194, 2.407521 41.8714836, 2.407646 41.8711322, 2.4077997 41.8707205, 2.4079027 41.8704885, 2.408095 41.8701483, 2.4082184 41.8699446, 2.4084035 41.8696925, 2.4086224 41.8694441, 2.4091086 41.8689757, 2.4097041 41.8685648, 2.4101338 41.8683292, 2.4105857 41.8680833, 2.4111126 41.8678009, 2.4116145 41.8675434, 2.4119438 41.8673825, 2.4121388 41.8672919, 2.4123284 41.8672104, 2.4125205 41.8671356, 2.4128667 41.8670125, 2.413281 41.8668956, 2.4136108 41.8668165, 2.4143479 41.8666471, 2.4147699 41.8665461, 2.4150652 41.8664657, 2.4152485 41.8664136, 2.4154027 41.8663648, 2.4164071 41.8660096, 2.4172236 41.865635, 2.4175742 41.8654578, 2.4178084 41.8653348, 2.4179984 41.8652203, 2.418147 41.865129, 2.4183968 41.8649738, 2.4186059 41.8648416, 2.4191013 41.8644857, 2.4195327 41.8641765, 2.4199565 41.8638898, 2.4201073 41.8637607, 2.4209958 41.8631105, 2.4213521 41.8628398, 2.4218187 41.8624998, 2.4220735 41.8622915, 2.4222 41.8621821, 2.4223628 41.8620242, 2.4225151 41.8618725, 2.4226488 41.8617202, 2.4227764 41.8615536, 2.4229023 41.8613774, 2.4230368 41.8611513, 2.4231431 41.8609496, 2.4232977 41.8606, 2.4235586 41.8599088, 2.4236962 41.8595335, 2.4243408 41.8577898, 2.4244451 41.8575107, 2.4245838 41.8572157, 2.4246747 41.8570452, 2.424777 41.856881, 2.4248767 41.8567344, 2.4249431 41.8566505, 2.425008 41.8565656, 2.4251044 41.8564532, 2.4252065 41.8563473, 2.425288 41.8562558, 2.4253752 41.8561686, 2.4255346 41.8560199, 2.4257214 41.8558698, 2.4258539 41.8557718, 2.4260696 41.8556199, 2.4263135 41.8554674, 2.4266764 41.8552797, 2.4268506 41.8551998, 2.4269761 41.8551455, 2.4272816 41.8550262, 2.4275826 41.8549241, 2.4280062 41.8548004, 2.4285369 41.8546608, 2.4286486 41.8546213, 2.4290493 41.8545287, 2.4290946 41.854518, 2.4291399 41.8545074)"
31,506850810,506850816,"LINESTRING (2.4291399 41.8545074, 2.4292395 41.854449, 2.4295042 41.8543704, 2.4297403 41.8542727, 2.429999 41.8541329, 2.4302406 41.8539847, 2.4306134 41.8537718, 2.430862 41.8536829, 2.4314009 41.853513, 2.4319806 41.8534349, 2.4329109 41.8533869)"
32,506850810,1929142188,"LINESTRING (2.4291399 41.8545074, 2.429697 41.8543989, 2.4302455 41.8542712, 2.4313483 41.8540265, 2.4317721 41.853938, 2.4321282 41.8538718, 2.4326845 41.8537734, 2.4331806 41.8537043, 2.4337379 41.8536302, 2.4342953 41.8535762, 2.4351187 41.8535127, 2.4359697 41.8534796, 2.4370445 41.8534385, 2.4374203 41.8534241, 2.4379283 41.8534012, 2.4385977 41.8533561, 2.4390049 41.8533219, 2.4394006 41.8532749, 2.4397009 41.8532307, 2.4401146 41.8531645, 2.4405283 41.853085, 2.4408615 41.8530163, 2.4412003 41.8529358, 2.4415827 41.8528348, 2.4423277 41.8526085, 2.442649 41.852498, 2.4430305 41.852355, 2.4433723 41.8522153, 2.4440038 41.8519553, 2.4442908 41.8518348, 2.4446251 41.8516955, 2.4448589 41.8516171, 2.4450927 41.8515514, 2.4453715 41.8514865, 2.4456502 41.8514429, 2.445903 41.851419, 2.4461152 41.8514065, 2.4463264 41.8514004, 2.4465458 41.851407, 2.4467879 41.8514231, 2.4470451 41.8514521, 2.4472794 41.8514848, 2.4475399 41.8515313, 2.4478471 41.8516041, 2.4481746 41.8516826, 2.4487484 41.8518508)"
33,506850816,2188345966,"LINESTRING (2.4329109 41.8533869, 2.4329312 41.8533838, 2.4329518 41.853383, 2.4329724 41.8533845, 2.4329925 41.8533883)"
34,506850816,2188345967,"LINESTRING (2.4328576 41.8534086, 2.4328697 41.8534016, 2.4328827 41.8533956, 2.4328965 41.8533907, 2.4329109 41.8533869)"
35,506850817,2188345966,"LINESTRING (2.4329925 41.8533883, 2.433121 41.8533879, 2.4332643 41.8533761, 2.433375 41.8533806)"
36,506850817,4954639569,"LINESTRING (2.433375 41.8533806, 2.4338027 41.8533464, 2.4341145 41.8533326, 2.4345484 41.8533243, 2.4348034 41.8533131, 2.4351217 41.8533)"
37,506850817,2188345973,"LINESTRING (2.433375 41.8533806, 2.433224 41.8534409, 2.43315 41.853478, 2.433076 41.8535263)"
38,506850831,2825797321,"LINESTRING (2.4359414 41.8539096, 2.4358711 41.8540019, 2.4357834 41.8540747, 2.4355702 41.8541453, 2.4353733 41.8541811)"
